coop,lat,lon,status,activities,address,flocert,type
ECYG-COOP-CA  (Entreprse Coopérative Yégoti de Guiglo Coopérative avec Conseil d'administration),6.5482,-7.4949,certified Fair Trade producer,production,"BP 55, Guiglo, Ivory Coast",FLO ID 41165,certified
SCOOPAKAM  (Société Coopérative Agricole de Kames),5.84461,-5.36924,certified Fair Trade producer,production,"BP 890 Divo, Divo, Ivory Coast",FLO ID 41177,certified
COOP-CA COOPASON  (Coopérative Agricole Sougourinomman de Nadjette),6.74124,-7.37344,certified Fair Trade producer,production,"S/P Bagohouo, Duekoue, Ivory Coast",FLO ID 41180,certified
SCOOPS-IZ  (Société Coopérative Agricole Ibala de Zagné),6.2109,-7.48858,certified Fair Trade producer,production,"Zagné non-loin du grand dépôt de poisson, Zagne, Ivory Coast",FLO ID 41242,certified
COPABO (COPABO Coopérative des Producteurs Agricoles de Bondoukou),8.04788,-2.80786,certified Fair Trade producer,production,"BP 293, Bondoukou, Ivory Coast",FLO ID 4692,certified
CABF  (Cooperative Allah Bekele de Fresco) ,5.10509,-5.5848,certified Fair Trade producer and trader,"production, commercialization","05 BP 2730 Abidjan 05, Fresco, Ivory Coast",FLO ID 6172,certified
CABZOU COOP-CA - Barry Callebaut,6.76789,-6.85933,Nestle supplier associated with Barry Callebaut,,"Boh-Nouman/Zoukougbeu, Ivory Coast",,nestle
DUEKOUE NORD-BIO - Barry Callebaut,6.74269,-7.36383,Nestle supplier associated with Barry Callebaut,,"Duekoue, Ivory Coast",,nestle
CEXPAG COOP-CA - Barry Callebaut,6.54598,-7.49739,Nestle supplier associated with Barry Callebaut,"production, collection, commercialization","Guiglo, Ivory Coast",,nestle
COOP-CA COOTIEN-OULA - Barry Callebaut  (Societe Cooperative de Tien-Oula),6.73834,-7.36803,Nestle supplier associated with Barry Callebaut,"production, collection, commercialization","Oula, Ivory Coast",,nestle
Coop-CA Abo - Barry Callebaut ( ? ),8.0466,-2.80606,Nestle supplier associated with Barry Callebaut. Perhaps also certified Fair Trade producer.,production,"Bondoukou, Ivory Coast",FLO ID 4692 (?),nestle
SCOOPADOB - Barry Callebaut,5.20172,-6.70106,Nestle supplier associated with Barry Callebaut,,"Gligbéuadji, Côte d'Ivoire",,nestle
SOCOOPAK COOP-CA - Barry Callebaut,5.40864,-6.56057,Nestle supplier associated with Barry Callebaut. Also certified Fair Trade producer.,"production, collection, sales, commercialization","BP 328 Meagui, Soubre, Ivory Coast",FLO ID 37885,dual
COOP-CA-CABID - Barry Callebaut  (Société Coopérative Binkadi De Divo - Sassandra),5.84461,-5.36049,Nestle supplier associated with Barry Callebaut. Also certified Fair Trade producer.,"production, collection, sales, commercialization","Dakpadou (Sassandra), Divo, Ivory Coast",FLO ID 36788,dual
SCJPAB COOP-CA - Barry Callebaut  (Société Coopérative des Jeunes Producteurs Agricole de Bangolo),7.00591,-7.48888,Nestle supplier associated with Barry Callebaut. Also suspended Fair Trade producer.,,"Bangolo, Ivory Coast",FLO ID 37236,dual
SCOABIA COOP CA - Barry Callebaut  (Societe Cooperative Anonklon de Bianouan),5.47451,-3.20307,Nestle supplier associated with Barry Callebaut. Also certified Fair Trade producer.,"production, collection, storage, processing, commercialization","BP 423 Aboisso, Aboisso, Ivory Coast",FLO ID 26396,dual
